BS実況(無料),なんでも実況G,ニュース速報,ニュース速報+,ニュー速VIP,番組ch(NHK),番組ch(TBS),番組ch(フジ),番組ch(朝日),芸スポ速報+
18816.41935483871,277303.29032258067,37756.290322580644,57184.51612903226,100757.09677419355,49828.032258064515,25661.935483870966,17407.354838709678,25341.129032258064,27126.225806451614
18948.966666666667,303322.724137931,56341.46666666667,57879.76666666667,107071.86666666667,44583.23333333333,25672.633333333335,19972.2,27692.066666666666,29728.7
18832.225806451614,280026.29032258067,42475.45161290323,66826.3870967742,101301.2258064516,40766.77419354839,29654.483870967742,20326.0,29210.645161290322,33344.290322580644
17339.466666666667,277942.63333333336,46007.6,67639.0,88822.46666666666,47769.2,26025.5,19227.166666666668,30030.8,41002.7
17017.548387096773,296162.12903225806,42174.74193548387,65251.67741935484,103304.41935483871,51092.67741935484,27145.0,26821.709677419356,29218.83870967742,45095.45161290323
20060.290322580644,328795.2580645161,43408.58064516129,80384.16129032258,94193.51612903226,45836.87096774193,28671.935483870966,21027.58064516129,31481.225806451614,44055.645161290326
19075.35714285714,253390.14285714287,40669.357142857145,81592.03571428571,80101.39285714286,47079.32142857143,31591.428571428572,20030.35714285714,26971.714285714286,52916.75
19746.129032258064,263467.4761904762,42218.354838709674,72193.54838709677,85462.35483870968,42252.67741935484,35696.22580645161,19707.774193548386,36111.967741935485,62064.51612903226
18608.366666666665,246557.7,30595.6,65512.86666666667,74095.7,40510.9,25568.666666666668,23658.6,23251.7,31183.1
19159.129032258064,260432.38709677418,20911.935483870966,55908.032258064515,96899.80645161291,43306.93548387097,25339.709677419356,17394.129032258064,23768.516129032258,35914.032258064515
18777.166666666668,209775.96666666667,23790.133333333335,59880.7,73281.26666666666,39453.73333333333,23481.766666666666,16124.0,20461.8,35366.933333333334
16098.322580645161,173316.70967741936,28615.645161290322,57740.83870967742,71461.70967741935,35627.3870967742,22265.09677419355,18139.25806451613,19084.90322580645,34492.74193548387
14408.387096774193,251572.96774193548,34558.0,73830.06451612903,83115.64516129032,47040.58064516129,29021.90322580645,18141.774193548386,25418.0,42414.903225806454
15916.7,203467.1,38213.8,67768.66666666667,75344.16666666667,41160.666666666664,27531.6,21364.4,26408.2,61568.5
17214.290322580644,69886.48387096774,35715.3870967742,68481.96774193548,70807.03225806452,36303.67741935484,25943.322580645163,18863.16129032258,24977.032258064515,47491.51612903226
16947.9,95764.83333333333,27052.9,76528.2,68575.6,38358.63333333333,23821.433333333334,20058.166666666668,25697.333333333332,51892.666666666664
18142.870967741936,140410.0,27158.387096774193,67078.93548387097,67793.80645161291,47567.1935483871,27944.0,20513.387096774193,28815.129032258064,46132.22580645161
18010.935483870966,134074.06451612903,38238.290322580644,80635.3870967742,82565.93548387097,51928.67741935484,27974.677419354837,22630.387096774193,31071.709677419356,79606.09677419355
17867.896551724138,152075.24137931035,35661.55172413793,76364.44827586207,68274.79310344828,42530.06896551724,25531.48275862069,21519.48275862069,29246.241379310344,70260.24137931035
17042.75,115388.15625,33860.75,77528.03125,71024.1875,45237.28125,27138.8125,21155.09375,29484.09375,62331.09375
